fine value,/nmos0_U/D Y,/nmos1_U/D Y,/nmos2_U/D Y,/nmos3_U/D Y,/nmos4_U/D Y,/nmos5_U/D Y,/pmos0_U/S Y,/pmos1_U/S Y,/pmos2_U/S Y,/pmos3_U/S Y,/pmos4_U/S Y,/pmos5_U/S Y,/nmos_V<0> Y,/nmos_V<1> Y,/nmos_V<2> Y,/nmos_V<3> Y,/nmos_V<4> Y,/nmos_V<5> Y,/pmos_V<0> Y,/pmos_V<1> Y,/pmos_V<2> Y,/pmos_V<3> Y,/pmos_V<4> Y,/pmos_V<5> Y,,DAC nmos0 U offset form ideal,,,DAC nmos5 U offset form ideal
229,6.411087164247557e-11,5.114928344047715e-10,4.074144275224023e-09,3.240932299026793e-08,2.581136595196745e-07,2.037588978885687e-06,5.976396653094302e-11,4.788198264823395e-10,3.834255472351452e-09,3.064875888507478e-08,2.463314150707797e-07,2.00707688330313e-06,0.2642554181220096,0.3440690018828462,0.4274128449452279,0.5185903039776242,0.6226022137054936,0.7612973741069921,1.46645218985497,1.38902123351007,1.307475131658821,1.217474342993252,1.112664756932594,0.9562694024627136,,-0.57%,,,-0.35%
228,6.379145826565592e-11,5.089888881044625e-10,4.053600337339817e-09,3.223926674099095e-08,2.56708876640369e-07,2.027009937095335e-06,5.946381401744248e-11,4.763890023742164e-10,3.814863295043786e-09,3.04875747771127e-08,2.44985358953463e-07,1.996457904265625e-06,0.2640653461927723,0.3438770881985015,0.4272022763262723,0.518345118249531,0.6223027158193676,0.7608440415407147,1.466633071281943,1.389210018051535,1.307682320008851,1.217717031170938,1.112974329893022,0.9568194475382559,,-0.63%,,,-0.44%
227,6.350263320222215e-11,5.066627155842279e-10,4.035817641966981e-09,3.209681204984073e-08,2.555938042014237e-07,2.019150984409415e-06,5.921278184609184e-11,4.743706772468905e-10,3.798085150506906e-09,3.03526586310651e-08,2.439001103635639e-07,1.988648622341737e-06,0.263905122271447,0.3437058039207465,0.4270191841718903,0.5181387908812929,0.6220639575818205,0.7605062607604069,1.466791882234272,1.389374408969952,1.30786238960708,1.217921093980363,1.113227194695815,0.9572270913863219,,-0.65%,,,-0.39%
226,6.320253506814661e-11,5.04082222997919e-10,4.015282271853941e-09,3.192676308720967e-08,2.541882300459735e-07,2.008570328806274e-06,5.891264327888772e-11,4.719349146836198e-10,3.778709046900695e-09,3.019147884431446e-08,2.425579717172446e-07,1.9780150618514e-06,0.2637129549962619,0.3435117047455884,0.4268067881812167,0.5178913669324092,0.6217616903724417,0.7600501222641114,1.466974635840276,1.389565867448894,1.308071285301787,1.218165997096057,1.113538120185663,0.9577803508651985,,-0.69%,,,-0.47%
225,6.289981420390814e-11,5.018084581690985e-10,3.99581944711152e-09,3.176737316484636e-08,2.528942880936356e-07,1.99907533845912e-06,5.863303892876209e-11,4.697354410238732e-10,3.760341925574209e-09,3.004060010126308e-08,2.41306328278667e-07,1.968553253385518e-06,0.2635308531244155,0.3433229012473464,0.4266045246501545,0.5176583249578591,0.6214821282854099,0.7596394540680258,1.467153207394981,1.389747269642128,1.308270245878469,1.218396360120908,1.113831875407347,0.9582762773203475,,-0.72%,,,-0.51%
224,6.256442231232679e-11,4.992271372507822e-10,3.975275490732429e-09,3.159772894642065e-08,2.51490389935223e-07,1.988491879695984e-06,5.833302034788058e-11,4.671233312769568e-10,3.740960690050805e-09,2.987988476387884e-08,2.399581580663632e-07,1.957928577358391e-06,0.2633376912276708,0.3431277165959343,0.426390001161559,0.5174090799445864,0.6211773836962983,0.7591802196772827,1.467337250156265,1.389935089630584,1.308481196707403,1.218642936308409,1.114147195919196,0.958832833450396,,-0.82%,,,-0.59%
223,6.259671914517209e-11,4.995108048126993e-10,3.980512496915914e-09,3.169750099982545e-08,2.528292935666873e-07,1.993016484040256e-06,5.836337307069921e-11,4.67583933221717e-10,3.74588954673276e-09,2.997444409448603e-08,2.412757176631087e-07,1.962518637570918e-06,0.2633560813459617,0.3431491961439673,0.4264447873681524,0.517555819109776,0.6214680527820076,0.7593768192866233,1.467319041609169,1.389921315305886,1.308427451236127,1.21849770950749,1.113836570788342,0.9585932511594556,,-0.32%,,,0.08%
222,6.227670269492282e-11,4.969297161984489e-10,3.959961132157456e-09,3.152784271474049e-08,2.514251052738638e-07,1.982432323770237e-06,5.80892000529979e-11,4.652042716956283e-10,3.726509332040908e-09,2.981416615459739e-08,2.398947976839504e-07,1.952030538809751e-06,0.2631624605471775,0.3429479778195942,0.4262293952358968,0.5173060356033703,0.6211631759654216,0.7589165270434481,1.46749146983594,1.390109894135821,1.308639167087213,1.218744122425872,1.114162113862231,0.9591431020052409,,-0.38%,,,-0.01%
221,6.19904727298453e-11,4.945720468432681e-10,3.940505509776387e-09,3.136846871908107e-08,2.501295996919482e-07,1.972935014609687e-06,5.77837020010059e-11,4.629480395835405e-10,3.708155902595807e-09,2.966304273154349e-08,2.386433250987962e-07,1.942442331303869e-06,0.2629776564718839,0.3427562332825851,0.4260244999518387,0.517070239943351,0.6208805651620016,0.7585022049120845,1.467688590499426,1.390298707150513,1.308840633952136,1.218977599863065,1.11445864964821,0.9596495091064986,,-0.39%,,,-0.04%
220,6.167113440700608e-11,4.920740993438045e-10,3.919961722219028e-09,3.119927348702837e-08,2.487229427974478e-07,1.962348692740739e-06,5.745958590945796e-11,4.60721491321819e-10,3.688764274941443e-09,2.950193979566466e-08,2.372959238395881e-07,1.931788105324575e-06,0.2627818217084973,0.342558388363736,0.4258070919122521,0.5168186782322376,0.6205722447983257,0.7580388395986423,1.467875013101599,1.390476657081745,1.309054530550521,1.219227724900768,1.114776627417873,0.9602119855026331,,-0.46%,,,-0.12%
219,6.139059198697402e-11,4.897142891071217e-10,3.902182270218969e-09,3.105641487691734e-08,2.476100788652002e-07,1.954486347261235e-06,5.723259203888989e-11,4.586247926303142e-10,3.671987461616595e-09,2.93665290737755e-08,2.362286639156116e-07,1.923927588828212e-06,0.2626143753706158,0.3423797597952446,0.4256180564620674,0.5166052737581747,0.6203272304583212,0.7576936005392862,1.468038361440982,1.390653798129498,1.30924044979232,1.219438952087187,1.115032254293387,0.9606303192774214,,-0.46%,,,-0.07%
218,6.107624791259184e-11,4.873302114055361e-10,3.881642239907787e-09,3.088652709632655e-08,2.462051266610275e-07,1.943898591444453e-06,5.692729878480593e-11,4.558445809370986e-10,3.652606538732453e-09,2.920584828092126e-08,2.348695419790505e-07,1.913324528919267e-06,0.262413729730014,0.3421806568596302,0.4253986415491597,0.5163502883379174,0.6200165195826228,0.7572272868450093,1.468227127847935,1.390861907671773,1.309456236426103,1.21969078462769,1.115355456595024,0.9611927048622473,,-0.52%,,,-0.16%
217,6.077958238666599e-11,4.848875000966041e-10,3.862186936079485e-09,3.0727364293335e-08,2.449104694461483e-07,1.934398608034656e-06,5.665300853700678e-11,4.538612343309313e-10,3.634236153007493e-09,2.905493900430199e-08,2.336184842511924e-07,1.903834049370997e-06,0.2622283491425106,0.3419848554569336,0.4251897874422771,0.5161102011798474,0.6197288148482593,0.7568074164999727,1.468413611835922,1.391049498512605,1.309661779960096,1.219928486842019,1.115657336332846,0.9616999285385556,,-0.55%,,,-0.19%
216,6.045556300529038e-11,4.823943750455225e-10,3.841638663542622e-09,3.055733997702284e-08,2.435054763241134e-07,1.923809158907724e-06,5.634762127178572e-11,4.516730357754093e-10,3.614864216242994e-09,2.889413039186114e-08,2.322712570036044e-07,1.893266843405433e-06,0.2620258287492919,0.3417837094523719,0.4249681045729882,0.5158524353311937,0.6194150700499275,0.7563378161927309,1.468602152438696,1.391227251812322,1.309879603571199,1.220183057822879,1.115980994436968,0.9622643842060401,,-0.62%,,,-0.28%
215,6.024536643661984e-11,4.803979589366597e-10,3.82704037228909e-09,3.044692106860202e-08,2.427420284146232e-07,1.918683162197524e-06,5.614729280968119e-11,4.497412373572041e-10,3.601095403038344e-09,2.878939768694724e-08,2.315333634396526e-07,1.888132974622666e-06,0.2618927177383696,0.3416298074425039,0.4248099221633053,0.5156843113900091,0.6192439168865822,0.7561098717157538,1.468742835679073,1.391378153869297,1.310035100523784,1.220349571387165,1.116161371662474,0.9625411851014,,-0.51%,,,-0.08%
214,5.991965682244082e-11,4.780015744145098e-10,3.806496660272391e-09,3.027709930842391e-08,2.413352872171229e-07,1.90809150849212e-06,5.584723445771147e-11,4.475853219496275e-10,3.581703983254746e-09,2.862862192253853e-08,2.301845565018624e-07,1.877534571566829e-06,0.2616876019943346,0.3414270277996855,0.4245863364780559,0.5154246187117661,0.6189273000672016,0.7556376386209083,1.468933914416048,1.391574121991221,1.310255058320118,1.220606294661798,1.116487529687158,0.9631096145971745,,-0.59%,,,-0.17%
213,5.961718866678598e-11,4.755572770793134e-10,3.78704784598957e-09,3.011786495384698e-08,2.40042261328183e-07,1.898588749930866e-06,5.556764024570782e-11,4.451077122593019e-10,3.563336386837792e-09,2.847762388101693e-08,2.289351460836851e-07,1.867994919378456e-06,0.2614951353520494,0.3412274090952465,0.4243736005673073,0.5151798695344132,0.6186348376396039,0.7552124300929558,1.469123139784568,1.391786656791002,1.310464450653608,1.220848637884233,1.11679415912632,0.9636251727405809,,-0.63%,,,-0.21%
212,5.930068256969872e-11,4.730338988433028e-10,3.766493599200628e-09,2.994801730180764e-08,2.386377737889201e-07,1.887995979689315e-06,5.52676482759281e-11,4.428971681979102e-10,3.54396106245299e-09,2.831692103191344e-08,2.27586350087292e-07,1.857367660976299e-06,0.2612925227978933,0.3410201987881841,0.4241476339338084,0.5149174629618049,0.6183155843721592,0.7547368321953555,1.469316273388602,1.391969228187666,1.310686447641913,1.221107882661551,1.117123633001597,0.9641991608084451,,-0.69%,,,-0.30%
211,5.904533346695773e-11,4.706478920486631e-10,3.748713169516446e-09,2.98051551061411e-08,2.375220872639061e-07,1.880129136153484e-06,5.501651858517735e-11,4.4065763274095e-10,3.527202473554713e-09,2.818154555371092e-08,2.265205886083938e-07,1.849554539477125e-06,0.261128630838257,0.3408336452809054,0.4239512078089294,0.5146956621379754,0.6180607934809988,0.7543824385285698,1.469487985096813,1.392157934942196,1.310879396654226,1.221327341329946,1.117388202441309,0.9646248060629199,,-0.65%,,,-0.25%
210,5.87052319525156e-11,4.682964539033133e-10,3.728172008051034e-09,2.963552571855237e-08,2.361175592900555e-07,1.869534149195164e-06,5.471628068534434e-11,4.382788387468383e-10,3.50781728751632e-09,2.80208166322044e-08,2.251613546534697e-07,1.838892005463788e-06,0.2609092918461893,0.3406273468299586,0.4237231699425979,0.5144310023588277,0.6177385317282388,0.753903632951332,1.469683711295076,1.392364871197663,1.311103678500289,1.221589186855087,1.117722860931026,0.9652035048394106,,-0.76%,,,-0.34%
209,5.840648726908862e-11,4.65870680599768e-10,3.708712360198641e-09,2.947610648653783e-08,2.348219966806722e-07,1.860029363672746e-06,5.443670059982307e-11,4.360221351866298e-10,3.489434660879763e-09,2.786987710205999e-08,2.239138789739693e-07,1.829399367086279e-06,0.2607159158040985,0.3404253881559576,0.4235060265957877,0.5141809713868188,0.6174397657169781,0.7534725145420564,1.469877118810287,1.392567074934964,1.311317453739242,1.221836368816832,1.118034938873631,0.9657229538687595,,-0.79%,,,-0.37%
208,5.808517774635184e-11,4.633568863059975e-10,3.688165748364534e-09,2.930643338897328e-08,2.334168270135345e-07,1.849433461039098e-06,5.413677452221721e-11,4.336440756930965e-10,3.470061743976415e-09,2.770910813677341e-08,2.225603303586276e-07,1.818755502724084e-06,0.2605062227737322,0.3402141612288938,0.4232755674236895,0.5139134579605182,0.6171140712300391,0.7529902047592181,1.470073691383865,1.392766521522945,1.311543908894224,1.22210103105478,1.118371142665767,0.9663049429240576,,-0.87%,,,-0.47%
207,5.795190234068463e-11,4.620960263337682e-10,3.6800048319482e-09,2.926329129285722e-08,2.333657720157811e-07,1.848570545393485e-06,5.401265945850084e-11,4.326068417973604e-10,3.462365075947722e-09,2.7668623315633e-08,2.225157947909009e-07,1.817944248618299e-06,0.2604251879407399,0.3401191419512501,0.4231836901053002,0.5138452062349861,0.6171022049284967,0.7529508743061117,1.470145516319456,1.392864885466375,1.31163421158385,1.222167905038654,1.118380725259645,0.9663499047142008,,-0.62%,,,-0.03%
206,5.763113865620796e-11,4.596987811534439e-10,3.659459992823988e-09,2.909377064521964e-08,2.319615673262976e-07,1.837973441044067e-06,5.371250179760058e-11,4.301778576345151e-10,3.442980022814222e-09,2.750741249656885e-08,2.211612758871887e-07,1.807300775827514e-06,0.2602081405496691,0.3399053738150862,0.4229515256067317,0.51357610157918,0.6167749331842486,0.7524664854247466,1.470362097578749,1.39306997329587,1.311862500356531,1.222435110388683,1.118722778262598,0.9669347167917329,,-0.69%,,,-0.13%
205,5.733115251545983e-11,4.572353088397117e-10,3.640008333389404e-09,2.89346070306321e-08,2.306665380463491e-07,1.828465777098534e-06,5.343297767307767e-11,4.27919791346828e-10,3.424633892439303e-09,2.735647304128594e-08,2.199170717910424e-07,1.797800056765027e-06,0.2600105162963401,0.3396965080998328,0.4227305616520833,0.5133220929752288,0.6164715484614028,0.7520303183222916,1.47055953741248,1.393276447948423,1.312079684417592,1.222686624626169,1.119039446413137,0.9674599165416052,,-0.73%,,,-0.16%
